     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.015,pymatching,bb03cc4029b89b1ec95cace69958049877051b2997f7e12b8b208beee679fcd2,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0,""params"":{""after_clifford1_depolarization"":0.0,""after_clifford2_depolarization"":0,""after_reset_flip_probability"":0,""before_measure_flip_probability"":0,""before_round_data_bias_probability"":[0.0,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
         1,         0,         0,   0.015,pymatching,bb03cc4029b89b1ec95cace69958049877051b2997f7e12b8b208beee679fcd2,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0,""params"":{""after_clifford1_depolarization"":0.0,""after_clifford2_depolarization"":0,""after_reset_flip_probability"":0,""before_measure_flip_probability"":0,""before_round_data_bias_probability"":[0.0,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
         1,         0,         0,   0.015,pymatching,bb03cc4029b89b1ec95cace69958049877051b2997f7e12b8b208beee679fcd2,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0,""params"":{""after_clifford1_depolarization"":0.0,""after_clifford2_depolarization"":0,""after_reset_flip_probability"":0,""before_measure_flip_probability"":0,""before_round_data_bias_probability"":[0.0,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
         1,         0,         0,   0.015,pymatching,bb03cc4029b89b1ec95cace69958049877051b2997f7e12b8b208beee679fcd2,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0,""params"":{""after_clifford1_depolarization"":0.0,""after_clifford2_depolarization"":0,""after_reset_flip_probability"":0,""before_measure_flip_probability"":0,""before_round_data_bias_probability"":[0.0,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
         1,         0,         0,   0.015,pymatching,bb03cc4029b89b1ec95cace69958049877051b2997f7e12b8b208beee679fcd2,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0,""params"":{""after_clifford1_depolarization"":0.0,""after_clifford2_depolarization"":0,""after_reset_flip_probability"":0,""before_measure_flip_probability"":0,""before_round_data_bias_probability"":[0.0,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
         1,         0,         0,   0.015,pymatching,bb03cc4029b89b1ec95cace69958049877051b2997f7e12b8b208beee679fcd2,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0,""params"":{""after_clifford1_depolarization"":0.0,""after_clifford2_depolarization"":0,""after_reset_flip_probability"":0,""before_measure_flip_probability"":0,""before_round_data_bias_probability"":[0.0,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
         1,         0,         0,   0.000,pymatching,bb03cc4029b89b1ec95cace69958049877051b2997f7e12b8b208beee679fcd2,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0,""params"":{""after_clifford1_depolarization"":0.0,""after_clifford2_depolarization"":0,""after_reset_flip_probability"":0,""before_measure_flip_probability"":0,""before_round_data_bias_probability"":[0.0,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
     53520,         0,         0,   0.016,pymatching,bb03cc4029b89b1ec95cace69958049877051b2997f7e12b8b208beee679fcd2,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0,""params"":{""after_clifford1_depolarization"":0.0,""after_clifford2_depolarization"":0,""after_reset_flip_probability"":0,""before_measure_flip_probability"":0,""before_round_data_bias_probability"":[0.0,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
     56592,         0,         0,   0.016,pymatching,bb03cc4029b89b1ec95cace69958049877051b2997f7e12b8b208beee679fcd2,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0,""params"":{""after_clifford1_depolarization"":0.0,""after_clifford2_depolarization"":0,""after_reset_flip_probability"":0,""before_measure_flip_probability"":0,""before_round_data_bias_probability"":[0.0,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
     57616,         0,         0,   0.016,pymatching,bb03cc4029b89b1ec95cace69958049877051b2997f7e12b8b208beee679fcd2,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0,""params"":{""after_clifford1_depolarization"":0.0,""after_clifford2_depolarization"":0,""after_reset_flip_probability"":0,""before_measure_flip_probability"":0,""before_round_data_bias_probability"":[0.0,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
